varier,differ,Diversifier
varier,differ,"Changer , se modifier , présenter des changements successifs"
venin,venom,"Poison produit , chez certains animaux , par sécrétion , et qui , introduit dans le sang d ’ un autre animal ou d ’ un homme par une morsure ou une piqûre , amène de graves désordres et même la mort ."
venin,venom,"Malignité , rancune , haine cachée ."
venin,venom,"Se dit aussi , en langage de dévotion , d ’ une doctrine dangereuse ."
virtuose,virtuoso,personne très douée dans son art
zéphyr,zephyr,Nom que les anciens donnaient au vent d ’ occident .
zéphyr,zephyr,Toute sorte de vents doux et agréables .
zéphyr,zephyr,"Tissu de coton peigné , souple , fin et serré ."
zéphyr,zephyr,Soldat des bataillons disciplinaires d ’ Afrique .
égal,equal,"Qui est semblable , soit en nature , soit en quantité , soit en qualité ."
égal,equal,En parlant des personnes .
égal,equal,"Absolument identique , exactement le même . — usage L ’ adjectif “ égal ” peut être suivi de la préposition “ à ” et d ’ une certaine façon de désigner cet objet égal , le même objet ."
égal,equal,"Toujours le même , invariant , constant , uniforme ."
épaule,shoulder,Partie du corps qui attache au cou l ’ articulation du bras chez l ’ homme et du membre antérieur chez les quadrupèdes ; articulation qui relie l au tronc .
épaule,shoulder,par ext au pluriel Carrure .
épaule,shoulder,Symbole de la force de caractère .
épaule,shoulder,Partie saillante que forme la réunion des pans nommés flanc et face d ’ un bastion .
arbalète,crossbow,"Arme de trait , arc monté sur un fût et qui se bande à la main ou à l ’ aide de divers mécanismes selon sa force ."
arbalète,crossbow,Divers instruments en forme d ’ arc .
atacamite,atacamite,Espèce minérale composée d ’ oxychlorure de cuivre de formule 3 .
botter,kick,Frapper à l ’ aide du pied .
botter,kick,"Pourvoir ’ un de bottes , soit en les lui fabriquant , soit simplement en les lui vendant ."
botter,kick,Chausser ’ un de bottes .
botter,kick,Se chausser de bottes .
captivité,captivity,Privation de liberté ; esclavage .
captivité,captivity,Situation d ’ un prisonnier de guerre .
captivité,captivity,État d une personne subjuguée .
captivité,captivity,"Absence de liberté pour un animal sauvage , notamment dans un zoo ."
casher,kosher,Abattu selon les pratiques rituelles juives
chateaubriant,châteaubriand,"Morceau de filet de bœuf coupé épais et grillé , servi sur une sauce brune , et garni de pommes de terre frites , de champignons ou de truffes ."
cigogne,stork,Oiseau échassier migrateur aux longues pattes et au long bec droit .
cigogne,stork,Levier ou dispositif à forme recourbée qui rappelle le bec ou le cou de cet animal .
faste,lavishness,"Propice , favorable , heureux , où tout réussit ."
faste,lavishness,Relatif aux fastes .
faste,lavishness,Magnificence qui se déploie et s ’ étale .
faste,lavishness,Affectation de paraître avec luxe et éclat .
fichier,file,Informatique : contenant virtuel
fichier,file,Collection de fiches
javelot,javelin,"Espèce de dard , arme de trait qu ’ on lançait avec la main ."
locataire,renter,"Celui , celle qui occupe une maison ou une partie de maison à loyer ."
locataire,renter,"Celui ou celle qui prend à bail , à fermage , , une activité économique , agricole ou commerciale ."
locataire,renter,Nom donné à un insecte parfois envahissant le reticulatus anciennement .
locataire,renter,Celui qui occupe une maison ou une partie de maison à loyer .
losange,diamond,Les définitions suivantes sont équivalentes :
losange,diamond,Blason Sorte de carré déformé et posé de biais qui est un meuble de l ’ écu .
losange,diamond,Quadrilatère équilatéral
monoski,monoski,Sport qui se pratique avec un ski unique sur lequel le skieur pose ses deux pieds .
monoski,monoski,Planche utilisée pour pratiquer ce sport .
orchidée,orchid,"Plante monocotylédone et bulbeuse , de la famille des Orchidacées , dont le type est l ’ orchis ."
orchidée,orchid,"Fleur de cette plante , utilisée pour l ’ ornementation ."
pervenche,periwinkle,"Plante de la famille des Apocynacées , dont l ’ espèce indigène a la fleur bleue ou blanche et le feuillage d ’ un beau vert ."
pervenche,periwinkle,"Fonctionnaire de police chargée de vérifier le stationnement des voitures , contractuelle ."
pneu,tyre,"Enveloppe souple remplie d ’ air qui entoure une roue et assure son contact avec le sol , inventée en 1888 ."
pneu,tyre,Message envoyé par un système de canalisations à air comprimé .
pneu,tyre,enveloppe souple entourant une roue
refaire,remake,Faire de nouveau ce qu ’ on a déjà fait .
refaire,remake,"Faire une chose pour la première fois , mais à l ’ imitation de ’ un qui l ’ a déjà faite ."
refaire,remake,"Réparer , raccommoder , une chose ruinée ou abîmée ."
refaire,remake,Remettre en vigueur et en bon état .
rénovation,renovation,"Renouvellement , régénération physique ou morale ."
rénovation,renovation,Action de rénover un bien .
triennal,triennial,Qui dure trois ans .
triennal,triennial,Qui est élu ou qui est nommé pour trois ans .
triennal,triennial,"Qui revient tous les trois ans , qui s ’ exerce tous les trois ans ."
triennal,triennial,Qui exerce sa charge tous les trois ans .
télégramme,telegram,Dépêche transmise par le télégraphe .
volée,flight,"Action de voler , vol , envol , en parlant des oiseaux et de certains animaux comme les insectes ."
volée,flight,Bande d ’ oiseaux qui volent ensemble .
volée,flight,"Ensemble des couvées du même mois , en parlant des pigeons ,"
volée,flight,"& Gens qui sont de même âge , de même profession , de même condition , et surtout des jeunes gens ."
échevin,councillor,"Dans l ’ empire carolingien , juge adjoint du tribunal comtal ."
échevin,councillor,"Dans les villes du Nord de la France , magistrat municipal dont la charge était de représenter les pouvoirs fondamentaux du souverain sur ses terres , et donc d ’ y faire appliquer le droit des individus et sociétés , d ’ y organiser la police et la perception pour lui des taxes et de l ’ ."
échevin,councillor,"Aujourd ’ hui , membre du Collège Communal à fonction exécutoire présidé par le bourgmestre , chargé d ’ un domaine de l ’ administration communale . Il est élu par le Conseil Communal en son sein , une entité distincte à fonction décisionnelle ."
échevin,councillor,"Adjoint au maire , conseiller municipal représentant d ’ un quartier donné ."
acropole,acropolis,"Ville haute , partie de la ville située sur une éminence fortifiée par la nature et par l ’ art et contenant le principal temple de la cité ."
adposition,adposition,que l ’ on utilise accolé à un mot ou un groupe nominal pour expliciter son sens dans une phrase .
baratte,churn,"Récipient de bois en forme de baril , plus large par en bas que par en haut , dont on se servait pour battre la crème du lait afin de la transformer en beurre ."
baratte,churn,"Industrie laitière Appareil qui agite fortement la crème du lait , pour en séparer la matière grasse de la phase aqueuse ."
biosphère,biosphere,"Ensemble des milieux où l on retrouve la vie comme l eau , une partie du sol et l air ."
biquaternion,biquaternion,Nombre qui fait partie de l ’ algèbre des quaternions .
brookite,brookite,Espèce minérale formée d ’ oxyde de titane de formule TiO 2 .
chancre,canker,"Écrevisse , crabe ."
chancre,canker,Ulcère qui ronge les parties environnantes .
chancre,canker,Ulcère qui attaque le gros bétail et qui commence par occuper le dessous de la langue d ’ où il s ’ étend rapidement vers les parties environnantes .
chancre,canker,Maladie causée par des champignons microscopiques qui survient aux arbres et qui les ronge .
dictature,dictatorship,"Dignité , pouvoir du dictateur ."
dictature,dictatorship,Temps pendant lequel s ’ exerce cette dignité .
dictature,dictatorship,par ext Autorité absolue ; autocratie .
dictature,dictatorship,"par ext Pression psychologique et insidieuse , qui s ’ impose du fait de l ’ appartenance à un groupe , de l évolution des modes de vie , de l ’ environnement ,"
défaite,defeat,Déroute d ’ une armée ou de quelques troupes .
défaite,defeat,Facilité plus ou moins grande de se défaire de quelque chose .
défaite,defeat,"Excuse , mauvaise raison , prétexte ."
faisceau,bundle,( Mathématiques )
faisceau,bundle,Assemblage de verges
flocon,flake,"Petite touffe , amas léger de laine , de soie ,"
flocon,flake,Petite lamelle de céréales séchées .
flocon,flake,Petite touffe
fractale,fractal,"Objet géométrique défini par un ensemble de propriétés précises , dont celle d être autosimilaire , c que le tout est semblable à l une de ses parties ."
fractale,fractal,En langage courant Désigne une forme dont l aspect ne change pas quelle que soit l échelle à laquelle on observe .
fumeur,smoker,"Celui qui a l ’ habitude de fumer du tabac , de l ’ opium , du haschisch ,"
fumeur,smoker,Celui qui fume du tabac
giclée,squirt,Jet de liquide qui gicle .
giclée,squirt,"Décharge d une mitrailleuse , rafale ."
giclée,squirt,Impression sur imprimante à jet d ’ encre haute définition et grand format .
giclée,squirt,jet de liquide qui gicle
guêpe,wasp,Insecte de l ’ ordre des hyménoptères .
hybride,hybrid,"Qui provient de deux espèces différentes , ou parfois de deux races ou variétés différentes ."
hybride,hybrid,"Par extension , composé d éléments de différentes natures ."
hybride,hybrid,Se dit de mots formés de radicaux pris dans deux langues différentes .
hybride,hybrid,"Véhicule propulsé par deux sources d ’ énergie , généralement l essence et l électricité ."
inventeur,inventor,Personne qui a fait une ou plusieurs inventions entérinées par un brevet d invention .
inventeur,inventor,"Créateur , qui renouvelle , augmente ou modifie la science ou l ’"
inventeur,inventor,Auteur qui .
inventeur,inventor,Celui qui a trouvé une chose enfouie dans le sol .
juré,juror,Membre d ’ un jury
limaçon,snail,"Mollusque gastéropode , dont le corps est dans une coquille en forme d ’ hélice ."
limaçon,snail,"Partie osseuse du labyrinthe de l ’ oreille moyenne , qui a la forme d ’ une coquille de limaçon ."
limaçon,snail,Se dit pour un escalier qui tourne autour d ’ un noyau .
manquer,lack,Faillir ; tomber en faute .
manquer,lack,"spécialement Ne pas partir , en parlant du coup d une arme à feu , lorsqu ’ on veut tirer ."
manquer,lack,"Tomber , faiblir , défaillir ."
manquer,lack,"Se dérober , s ’ , en parlant des choses ."
négro,nigger,raciste Africain ; noir ; nègre .
parure,adornment,"Ornement , ajustement , ce qui sert à parer ."
parure,adornment,"Garniture de pierres précieuses , destinée à servir de parure ."
parure,adornment,"Action de parer , de préparer ."
parure,adornment,"particulier L ’ action d ’ ôter de la corne du pied d ’ un cheval avant de le ferrer , ou d ’ un bovin , pour le soigner ."
portefeuille,folder,"Enveloppe , étui de carton , d ’ étoffe , de cuir , servant à renfermer des papiers , des dessins ,"
portefeuille,folder,"Cartable de cuir , munie de poches et de compartiments , qui sert à renfermer et à porter des dossiers , des livres ,"
portefeuille,folder,"Fonction de , ."
portefeuille,folder,"Ensemble des valeurs que l ’ on possède , par opposition aux ."
rançon,ransom,Prix exigé pour la délivrance d ’ un captif ou d ’ un prisonnier de guerre .
rançon,ransom,"Somme d ’ argent , moyennant laquelle un vaisseau de guerre ou un corsaire relâchait un bâtiment marchand ennemi qu ’ il avait capturé ."
rançon,ransom,"Inconvénient par lequel on paie un avantage , un plaisir , un honneur ."
rançon,ransom,prix pour la délivrance d un captif
résistant,resistant,personne qui résiste
spessartine,spessartine,"Espèce minérale du groupe des silicates , des , série de manganèse , aluminium , de la famille des grenats . De formule idéale Mn 3 Al 2 3 ."
thym,thyme,"Genre de plantes de la famille des Lamiacées dont l ’ espèce la plus connue est le Thymus vulgaris , plante aromatique et médicinale , qui est utilisée en cuisine et pour la préparation d ’ infusions et de décoctions . Sauvage et très répandu dans les garrigues des rives de la méditerranée , il est aussi , pour ses vertus , cultivé dans les jardins ."
trumeau,trumeau,"Pilier , soutien entre deux ouvertures"
télédiffusion,broadcasting,Diffusion d un signal audiovisuel par voie hertzienne .
émancipation,emancipation,Action de mettre fin à une tutelle .
émancipation,emancipation,par ext Action de se libérer de ses contraintes .
étalon,standard,Pièce de référence
étalon,standard,référence de mesure
étalon,standard,Valeur ou métal de référence
alimentaire,alimentary,"Relatif à l ’ alimentation , aux aliments ."
alimentaire,alimentary,Qui sert d ’ aliment .
alimentaire,alimentary,plus rare Relatif à l ’ alimentation des machines en matières .
alimentaire,alimentary,Qualifie un travail qu ’ on fait pour subsister et non par passion .
autofiction,faction,Genre littéraire qui combine de façon ouvertement contradictoire deux types de narrations opposés : l ’ autobiographie et la fiction .
autofiction,faction,Autobiographie romancée .
autofiction,faction,Genre littéraire
badinage,banter,"Action ou propos léger , qui ne prête pas à conséquences ."
badinage,banter,et Tâche qui se réalise sans peine .
consommation,consummation,Action de mener une œuvre à son plein achèvement .
consommation,consummation,particulier Union charnelle des époux après la cérémonie nuptiale .
consommation,consummation,Relation sexuelle .
consommation,consummation,Action de se servir des choses qui se détruisent par l ’ usage .
dentelle,lace,Sorte de passement à jour et à mailles très fines .
dentelle,lace,au pluriel Ornement en forme de dentelles .
dentelle,lace,au pluriel Sculptures à jour qu ’ on fait dans la pierre .
dentelle,lace,Papier finement découpé à jour dont on couvre les boîtes de confiserie .
encourager,encourage,Inciter à avoir du courage .
encourager,encourage,"Favoriser le progrès , le développement d ’ une affaire en parlant du commerce , de l ’ industrie ."
encourager,encourage,Inciter ’ un à faire pour le mieux
encourager,encourage,"Exciter un , le pousser , le provoquer à ce qu il a déjà en disposition ."
estrade,estrade,"Construction , généralement en bois , élevée d ’ une ou de plusieurs marches sur le plancher d ’ une chambre , d ’ une salle ou en plein air ."
foin,hay,Herbe fauchée et séchée qui sert principalement à la nourriture des chevaux et des bestiaux .
foin,hay,Herbe sèche avant qu ’ elle soit note
foin,hay,au pluriel Fenaison .
gnathostomes,gnathostome,"Vertébrés à mâchoires , tels que les poissons , les batraciens , les reptiles , les oiseaux et les mammifères ."
haori,haori,"Veste qui tombe aux hanches ou jusqu ’ aux genoux , et qui se porte par dessus le kimono ."
interposer,interpose,Mettre une chose entre deux note Il n ’ est guère usité au propre que dans le langage didactique .
interposer,interpose,Placer comme médiateur .
kvas,kvass,"Boisson obtenue par la fermentation naturelle du pain de blé , de seigle ou d ’ orge , souvent parfumée avec des fruits , des baies ou de la menthe ; pétillante et légèrement alcoolisée , elle est populaire en Russie , en Ukraine , en Biélorussie et dans d ’ autres pays d ’ Europe Centrale et d ’ Europe de l ’ Est ."
pépinière,nursery,Terrain où l ’ on fait des semis d ’ arbres rangés sur une ou plusieurs lignes et qu ’ on élève jusqu ’ à ce qu ’ ils puissent être transplantés .
pépinière,nursery,par ext Terrain où l ’ on fait des semis de toutes plantes cultivées en vue de les .
pépinière,nursery,Les végétaux .
pépinière,nursery,"Lieu où grandissent des individus , où se forment des jeunes gens , où se développent des entreprises ,"
sycomore,sycamore,Genre de figuier très courant en Égypte et au dans l Antiquité .
sycomore,sycamore,"par ext Arbre du genre des érables qui croît naturellement en France et qui sert à orner les parcs , les promenades ,"
transfert,transfer,"Action de transférer , passage de quelque chose d ’ un lieu à un autre ."
transfert,transfer,en particulier Synonyme usuel du terme juridique transfèrement .
transfert,transfer,"Acte par lequel on déclare transporter à un autre la propriété d ’ une rente sur l ’ état , d ’ une valeur , d ’ une marchandise ."
transfert,transfer,Changement de club par un sportif .
vaporisation,vaporization,Action de vaporiser .
accoutrement,dressing,Tenue vestimentaire surprenante .
alcool,alcohol,Pharmacie ancienne Poudre très fine .
alcool,alcohol,"Liquide incolore , très fluide , d ’ une saveur brûlante , qui s ’ obtient en distillant le vin , le cidre et toutes les liqueurs fermentées provenant de matières sucrées ou . Éthanol ."
alcool,alcohol,"Boisson alcoolisée comme le vin , la bière ou les spiritueux ."
alcool,alcohol,"Alcoolisme ; ivrognerie , ivresse ."
astronome,astronomer,Celui ou celle qui s ’ occupe d ’ astronomie .
avancement,advance,Action de monter en grade
bourré,stuffed,Plein à craquer .
bourré,stuffed,"Rempli , plein ."
bourré,stuffed,"Serré , compressé ."
bourré,stuffed,"Saoul , ivre ."
brebis,ewe,Femelle du bélier .
brebis,ewe,par extension Fromage fait à partir de lait de brebis .
brebis,ewe,"Chrétien , en tant qu ’ il est sous la conduite de son pasteur ."
brebis,ewe,Femelle du bélier
brochette,skewer,"Petite broche de fer , de bois , et quelquefois d ’ argent , dont on se sert , soit pour assujettir la viande à la broche , soit pour faire rôtir ou griller de petites pièces de gibier , des rognons de mouton et d ’ autres viandes ."
brochette,skewer,"Petites pièces de gibier , des rognons de veau , des morceaux de foie , des petits poissons , , ainsi rôtis ou grillés ."
brochette,skewer,Petite broche qui sert à porter ensemble plusieurs croix ou médailles .
brochette,skewer,"ou Ensemble de personnes malfaisantes , inopportunes , fâcheuses ,"
consacré,dedicated,( linguistique ) Qui ne peut être utilisé improprement
curée,quarry,Portion de la bête que l ’ on donne aux chiens après sa prise .
curée,quarry,"Fait de donner ces abats , moment où on la donne ."
curée,quarry,par ext Pitance .
curée,quarry,Pillage des biens et des avoirs d un vaincu .
diptyque,diptych,Tableau composé de deux panneaux qui se rabattent l ’ un sur l ’ autre .
diptyque,diptych,Tableau composé de deux parties qui se font opposition .
diptyque,diptych,arts Pièce d ’ ivoire ou d ’ orfèvrerie ou peinture à deux battants .
diptyque,diptych,"cinématographie Série de films composée de deux volets qui ne se font pas suite , ou dont l ensemble forme une oeuvre complète dont l histoire est originellement scindée en deux parties ."
débutant,beginner,Qui débute .
débutant,beginner,"Celui , celle qui débute ."
débutant,beginner,"celui , celle qui débute"
décollage,takeoff,Action de décoller .
décollage,takeoff,"Phase de développement d ’ une économie au cours de laquelle l ’ évolution des mentalités , des évènements politiques , des progrès techniques et des qualifications provoque l apparition d ’ une croissance ."
décollage,takeoff,Phase de développement d ’ une économie ...
gène,gene,Unité de base de l ’ information biologique qui se transmet de génération en génération .
imbrication,imbrication,Action d ’ imbriquer ou résultat de cette action .
ivrogne,drunk,Qui s adonne à la consommation outrancière de boissons alcoolisées .
lapacho,lapacho,"Arbre à fleurs roses d ’ Amérique du Sud , de la famille des Bignoniaceae , de nom scientifique Tabebuia ou Tabebuia ."
lapacho,lapacho,Infusion faite à partir de l ’ écorce de cet arbre .
marxisme,marxism,Idéologie communiste telle que professée par Karl Marx ou ses adeptes .
moléculaire,molecular,Qui a rapport aux molécules .
ménager,handle,"Dépenser avec circonspection , avec prudence"
ménager,handle,Se servir d ’ un être ou d ’ une chose de façon qu ’ ils restent en bon état
nutriment,nutriment,"Composé organique et minéral assimilable par un organisme vivant , vital pour son développement et son entretien ."
nutriment,nutriment,Synonyme de nourriture .
palet,puck,Pierre plate et ronde .
palet,puck,"particulier Morceau de métal de la même forme , avec lequel on joue en le jetant le plus près qu ’ on peut du but qui a été marqué ."
palet,puck,Disque dur et épais en caoutchouc qui sert au jeu de hockey sur glace .
palet,puck,"Petit <concept> , jeu qui consiste à lancer des palets en métal vers une table avec des trous marquées de valeur ."
peignoir,bathrobe,"Sorte de vêtement de dessus que l ’ on jette sur ses épaules , quand on fait sa toilette , quand on se peigne ."
peignoir,bathrobe,Vêtement à peu près semblable qu ’ on met en sortant du bain .
peignoir,bathrobe,Vêtement d ’ intérieur ; déshabillé .
remous,eddy,Retour de l ’ eau sur dans le sillage d ’ un navire en marche .
remous,eddy,Tournoiement d ’ un fluide autour d ’ un obstacle .
remous,eddy,qui se forment sur les bords d ’ une rivière .
remous,eddy,Mouvements en sens divers .
rente,income,Revenu annuel .
rente,income,"Ce qui est dû tous les ans pour un fonds aliéné , cédé ou affermé ."
rente,income,Ce qui est dû annuellement pour une somme d ’ argent aliénée par contrat .
rente,income,Revenu obligataire .
textuel,textual,Conforme en tout point
textuel,textual,Relatif au texte
tiercé,trifecta,"Haussé d ’ un tiers , en parlant d ’ un prix ."
tiercé,trifecta,Qui a reçu un troisième labour .
tiercé,trifecta,Blason Se dit d ’ un écu qui est divisé en trois parties égales .
tiercé,trifecta,spécialement Composé de deux vantaux dont l ’ un est deux fois plus large que l ’ autre .
tortu,crooked,"Qui n ’ est pas droit , qui est de travers ."
vendange,vintage,Récolte de raisins pour faire du vin .
vendange,vintage,par ext Raisins récoltés pour faire le vin .
vendange,vintage,au pluriel Temps où se fait la récolte des raisins .
vesce,vetch,"Genre de plantes herbacées grimpantes fourragères , à feuilles comportant deux stipules , plusieurs folioles à nervures non parallèles , plus grands que les stipules , et une vrille , aux fleurs papilionacées , formant des gousses et dont le grain est rond ."
vesce,vetch,Grain de cette plante même .
évêché,bishopric,"Institution ecclésiale rassemblant un évêque , un siège , un peuple chrétien et un diocèse ."
évêché,bishopric,"par ext La ville où a été érigé un siège épiscopal , c ’ où réside un évêque ."
évêché,bishopric,Demeure de l ’ évêque ou bâtiment où réside son administration .
autocovariance,autocovariance,Covariance d un processus avec .
baver,drool,Laisser échapper de la bave .
baver,drool,Médire de ’ un .
baver,drool,"Montrer son désir , ses envies avec outrance ."
baver,drool,"Pour un dessin , dépasser des traits de contour pour une couleur de remplissage , ou bien laisser des traces d encre fraîche accidentelles sur une feuille ."
beffroi,belfry,Édifice mobile en bois qui servait à prendre d ’ assaut des fortifications .
beffroi,belfry,"Tour ou clocher servant à faire le guet et où se trouvait une cloche pour sonner l ’ alarme , campanile ."
beffroi,belfry,par ext Charpente qui porte les cloches .
beffroi,belfry,Charpente qui soutient les meules d ’ un moulin ; charpente de bois ou de fer qui supporte un train de laminoirs dans les forges et dans les aciéries .
chahut,horseplay,Danse désordonnée .
chahut,horseplay,"Désordre , tumulte d ’ écoliers ."
chahut,horseplay,"Perturbation volontaire d un discours , d un cours ,"
chahut,horseplay,Perturbation émotionnelle .
chaâbi,chaabi,"Genre musical algérien et marocain , qui s est développé en opposition à la musique noble et savante ."
citoyenneté,citizenship,Les droits et devoirs d ’ un citoyen respectant la cité .
crural,crural,Relatif à la cuisse .
dryade,dryad,Nymphe protectrice des arbres et des bois .
dryade,dryad,"Arbre forestier , à l ’ état juvénile , représentatif du climax forestier ."
dryade,dryad,"Dryas , genre d ’ arbrisseaux de la famille des Rosaceae ."
dryade,dryad,"spécialement L ’ espèce Dryas octopetala , la dryade à huit pétales ."
découvrir,uncover,Dégarnir de ce qui couvrait .
découvrir,uncover,"absolument Se retirer , en parlant de la mer ."
découvrir,uncover,"particulier Laisser voir ou laisser trop voir . — note Dans cette acception , il ne se dit guère que des femmes ."
découvrir,uncover,Dégarnir de ce qui mettait à couvert .
désespoir,despair,Perte d ’ espérance ; état d ’ une personne qui a perdu toute espérance .
désespoir,despair,État violent de l ’ âme causé par une affliction qu ’ on ne cherche pas à surmonter .
désespoir,despair,Contrariété ; souci .
désespoir,despair,par ext Ce qui cause le <concept> .
entracte,intermission,"Intervalle qui , dans la représentation d ’ une pièce de théâtre , sépare un acte d ’ un autre ."
entracte,intermission,"par ext Intervalle qui sépare les diverses parties d ’ un concert , d ’ un spectacle quelconque ."
entracte,intermission,Petit spectacle qui ne fait pas faire partie de la pièce principale et qui se donne entre les actes .
entracte,intermission,Intervalle qui sépare des actes au théâtre
génocide,genocide,"Élimination physique intentionnelle , totale ou partielle , d ’ un groupe humain ce qui veut dire que les membres sont exterminés ou rendus incapables de procréer en raison de leur appartenance au groupe ."
génocide,genocide,"Hécatombe , mort violente et rapide d un grand nombre de personnes ."
insulaire,islander,Relatif aux îles .
insulaire,islander,Qui habite une île .
insulaire,islander,Habitant des îles .
meute,pack,Troupe de chiens courants dressés pour la vénerie ou chasse à courre .
meute,pack,Groupe de canidés .
meute,pack,Troupe de personnes acharnées contre ’ un .
meute,pack,scoutisme Groupe de louveteaux .
myxine,hagfish,"Une des espèces d animaux chordés crâniates agnathes marins nécrophages ressemblant à une anguille gluante , à bouche circulaire entourée de barbillons ."
naturiste,naturist,Adepte du naturisme .
pensionnaire,boarder,Celui ou celle qui paie pension .
pensionnaire,boarder,"particulier Animal mis par son propriétaire en élevage chez un éleveur , moyennant le paiement d une pension ."
pensionnaire,boarder,"spécialement Celui ou celle qui , moyennant un prix convenu , loge dans une école , un collège , un lycée pour y être instruit ."
pensionnaire,boarder,Prostituée exerçant dans une maison close .
personnalité,personality,"Ce qui appartient essentiellement à la personne , ce qui lui est propre , ce qui fait qu ’ elle est , et non pas une autre ."
personnalité,personality,Qualité de personne juridique .
personnalité,personality,Ce qui est attaché à la personne .
personnalité,personality,Personne connue .
poutre,beam,"Pièce de bois de forme allongée , servant dans les constructions à supporter une charpente ou un parquet ."
poutre,beam,Tout élément de construction de forme allongée en béton ou métallique .
poutre,beam,Synonyme de trabe .
poutre,beam,"Un des agrès en gymnastique féminine , où la gymnaste doit évoluer sur une poutre horizontale de dix centimètres de large à un mètre du sol ."
pruneau,prune,"Fruit séché issu de prune séchée , naturellement au soleil ou industriellement dans des fours ."
pruneau,prune,Balle d ’ arme à feu .
pruneau,prune,Prune séchée
préparation,preparation,"Action par laquelle on prépare , on se prépare ."
préparation,preparation,"Action de libérer le terrain des troupes ennemies , avant une d ’ une attaque , par un tir d ’ artillerie ."
préparation,preparation,"Méditation , prières par lesquelles on se prépare à dire ou à entendre la messe , à communier ,"
préparation,preparation,Action d ’ annoncer quelque chose par degrés et en employant des ménagements .
stagner,stagnate,"Pour un liquide , ne pas bouger , rester inerte ."
stagner,stagnate,"Ne pas évoluer , ne pas être en mouvement ."
stannite,stannite,"Minéral composé de sulfure de cuivre , fer et étain ."
tranchant,edge,"Côté coupant d ’ une épée , d ’ un couteau , d ’ un rasoir"
trottoir,sidewalk,"Espace surélevé ménagé sur le côté d ’ une chaussée , d ’ un quai , d ’ une rue pour le passage des piétons ."
trottoir,sidewalk,"Bord d ’ une tarte , d ’ une pizza ."
trottoir,sidewalk,"Nom d ’ une sorte de pâtisserie , consistant en une pâte feuilletée , généralement rectangulaire , avec une garniture fruitée recouverte de lanières de pâte entrecroisées , dont l ’ aspect rappelle celui d ’ un ."
trottoir,sidewalk,Espace surélevé sur le côté d ’ une chaussée
vernis,varnish,enduit résineux brillant
équitation,riding,Action ou fait de monter à cheval .
équitation,riding,Art de monter à cheval .
bambou,bamboo,"Graminée originaire d ’ Asie et d ’ Amérique du Sud , dont la tige peut s ’ élever à plus de 20 mètres , utilisée pour sa légèreté , son élasticité et sa résistance à la traction ."
bioconversion,bioconversion,"Système permettant la production à buts commerciaux de molécules par des microorganismes , production qui serait soit trop coûteuse , soit impossible à faire autrement ."
bioconversion,bioconversion,Transformation des biomolécules par des organismes vivants .
boyau,gut,"Intestin , tripes , note se dit des animaux et péjorativement de l ’ homme ."
boyau,gut,"Membrane de l intestin qui sert à diverses industries , telles qu en charcuterie la préparation des boyaux soufflés , la fabrication des ,"
boyau,gut,Long conduit de cuir adapté à une machine hydraulique pour porter l ’ eau à distance ou pour l ’ élever à une certaine hauteur .
boyau,gut,Mines Galerie étroite servant de communication entre deux galeries plus larges .
bûcheron,lumberjack,Personne qui coupe du bois dans une forêt .
curiosité,curiosity,"Passion , désir , empressement de voir , d ’ apprendre des choses nouvelles , intéressantes , rares ,"
curiosité,curiosity,"particulier Grande envie , trop grand empressement de savoir les secrets , les affaires d ’ autrui ."
curiosité,curiosity,"Goût qui porte à rechercher les objets curieux , rares , nouveaux ,"
curiosité,curiosity,"Surtout au pluriel Chose rare , curieuse ."
damier,checkerboard,"Plateau de jeu divisé en carreaux égaux , appelés cases , alternativement de deux couleurs différentes , comme noir et blanc , sur lesquels sont déplacées les pièces au jeu de dames ou au checkers ."
damier,checkerboard,"Surface divisée régulièrement en carrés contigus et alternés , de deux couleurs ou de deux teintes de la même couleur ."
damier,checkerboard,"Quadrillage , surface , espace , couvert de parties ou de parcelles de petite taille ."
damier,checkerboard,par ext Présentation de données sous forme de tableau .
datation,dating,"Action de dater , estimation d ’ une date par des moyens scientifiques ."
descriptif,descriptive,Qui a pour objet de décrire .
descriptif,descriptive,spéc Qui représente les personnes ou les choses par leurs traits extérieurs .
descriptif,descriptive,Qui représente les solides par leurs lignes de projection .
descriptif,descriptive,"Qui a pour objet de décrire l ’ usage réel , sans jugement normatif ."
dictateur,dictator,"Magistrat unique et souverain qu ’ on nommait extraordinairement à Rome , du temps de la République , en certaines circonstances critiques , et au maximum pour six mois ."
dictateur,dictator,"par ext Tout chef investi , temporairement ou à perpétuité , d ’ une autorité souveraine et absolue et de tous les pouvoirs politiques ."
dictateur,dictator,"Celui qui aime à exercer un pouvoir , une autorité sans partage ."
galère,galley,Marine et Antiquité Bâtiment à rames et à voiles qui était le vaisseau de guerre des anciens .
galère,galley,"Navire long et de bas bord , qui allait ordinairement à rames et quelquefois à voiles avec des antennes , et dont on se servait beaucoup autrefois sur la Méditerranée ."
galère,galley,"au pluriel Peine que subissaient ceux qui étaient condamnés à ramer sur les galères , ou , après la disparition de ces navires , aux travaux forcés ."
galère,galley,"Lieu , état ou condition où l ’ on a beaucoup à travailler , à souffrir ."
gargouille,gargoyle,"Partie d ’ une gouttière ou d ’ un tuyau par où l ’ eau tombe , et qui est souvent ornée d ’ une figure de dragon , de lion ou de quelque autre animal ."
