la,la,syllable used in solfège to represent the sixth note of a major scale
housing,logement,activity of enclosing or providing residence
trolley,charriot,A cart or shopping cart .
trolley,charriot,A hand truck .
trolley,charriot,A soapbox car .
trolley,charriot,A single-pole device for collecting electrical current from an overhead line usually for a tram or streetcar . Usually called a trolley pole .
troop,troupe,A collection of people ; a number ; a multitude .
troop,troupe,"A small unit of cavalry or armour commanded by a captain , corresponding to a platoon or company of infantry ."
troop,troupe,"A detachment of soldiers or police , especially horse artillery , armour , or state troopers ."
troop,troupe,"Soldiers , military forces ."
admiralty,amirauté,The office or jurisdiction of an admiral .
admiralty,amirauté,The department or officers having authority over naval affairs generally .
admiralty,amirauté,The court which has jurisdiction of maritime questions and offenses .
admiralty,amirauté,The system of jurisprudence of <concept> courts .
appendix,annexe,Something attached to something else ; an attachment or accompaniment .
appendix,annexe,"Specifically , a text added to the end of a book or an article , containing information that is important to but is not the main idea of the main text ."
appendix,annexe,"The vermiform <concept> , an inner organ that can become inflamed ."
appendix,annexe,text added to the end of a book or an article
bucket,seau,"A container made of rigid material , often with a handle , used to carry liquids or small items ."
bucket,seau,The amount held in this container .
bucket,seau,A unit of measure equal to four gallons .
bucket,seau,Part of a piece of machinery that resembles a bucket .
feedback,évaluation,Critical assessment of a process or activity or of their results .
feedback,évaluation,The signal that is looped back to control a system within itself .
feedback,évaluation,The high-pitched howling noise heard when there s a loop between a microphone and a speaker .
feedback,évaluation,critical assessment of process or activity
gest,geste,verse romance
mayday,mayday,international distress signal used by shipping and aircraft
perverse,pervers,"Turned aside ; hence , specifically , turned away from the right ; willfully erring ; wicked ; perverted ."
perverse,pervers,"Obstinately in the wrong ; stubborn ; intractable ; hence , wayward ; vexing ; contrary ."
perverse,pervers,Ignoring the evidence or the judge s opinions .
perverse,pervers,"Turned aside ; hence , specifically , turned away from the ( morally ) right ; willfully erring ; wicked ; perverted"
zander,sandre,Sander lucioperca
assassination,assassinat,"The murder of a person , especially for political reasons or for personal gain ."
assassination,assassinat,murder for political reasons or personal gain
combination,combinaison,"The act of combining , the state of being combined or the result of combining ."
combination,combinaison,An object formed by combining .
combination,combinaison,A sequence of numbers or letters used to open a combination lock .
combination,combinaison,One or more elements selected from a set without regard to the order of selection .
mandatory,obligatoire,Obligatory ; required or commanded by authority .
mandatory,obligatoire,"Of , being or relating to a mandate ."
slope,pente,An area of ground that tends evenly upward or downward .
slope,pente,The degree to which a surface tends upward or downward .
slope,pente,"The ratio of the vertical and horizontal distances between two points on a line ; zero if the line is horizontal , undefined if it is vertical ."
slope,pente,The <concept> of the line tangent to a curve at a given point .
stork,cigogne,A large wading bird with long legs and a long beak of the family Ciconiidae .
stork,cigogne,"The mythical bringer of babies to families , or good news ."
stork,cigogne,The seventeenth Lenormand card .
stork,cigogne,large wading bird of the family Ciconiidae
abrasion,abrasion,"The act of abrading , wearing , or rubbing off ; the wearing away by friction . First attested in the mid 17 th century ."
abrasion,abrasion,The substance thus rubbed off ; debris . First attested in the mid 18 th century .
abrasion,abrasion,"The effect of mechanical erosion of rock , especially a river bed , by rock fragments scratching and scraping it . First attested in the mid 19 th century ."
abrasion,abrasion,"An abraded , scraped , or worn area . First attested in the mid 20 th century ."
griot,griot,"West African storyteller , musician and poet"
injury,blessure,Damage to the body of a human or animal .
injury,blessure,"The violation of a person s reputation , rights , property , or interests ."
injury,blessure,"To wrong , to injure ."
injury,blessure,damage or violation
sofa,canapé,"A raised area of a building s floor , usually covered with carpeting , used for sitting ."
sofa,canapé,"A upholstered seat with a raised back and one or two raised end , long enough to comfortably accommodate two or more people ."
sofa,canapé,"<concept> , couch , divan , settee"
sofa,canapé,upholstered seat
amide,amidure,ionic derivative of ammonia
amide,amidure,organic chemistry : derivative of an oxoacid
burst,éclater,to break from internal pressure
chignon,chignon,roll or twist of hair worn at the nape of the neck ; a bun
contestable,contestable,that which can be contested
gull,goéland,A seabird of the genus Larus or of the family Laridae .
gull,goéland,A cheating trick ; a fraud .
gull,goéland,One easily cheated ; a dupe .
gull,goéland,To deceive or cheat .
spelling,orthographe,"act , practice , ability , or subject of forming words with letters , or of reading the letters of words ; orthography"
aegis,égide,A mythological shield associated with Zeus and Athena shown as a short cloak consisting of a goatskin . The aegis of Athena is usually shown with a border of snakes and with the head of Medusa in the center . The aegis is more an emblem of protection and power than an actual military shield .
aegis,égide,"Protection , guidance . Usually used as ‘ under the aegis ’ because of its origin as protection of the shield of Athena ."
aegis,égide,of Zeus or Jupiter
aegis,égide,of Athena or Minerva
extraordinary,extraordinaire,not ordinary
genocide,génocide,"The systematic killing of substantial numbers of people on the basis of their ethnicity , religion , political beliefs , social status , or other particularities ."
genocide,génocide,The systematic suppression of ideas on the basis of cultural or ethnic origin ; .
genocide,génocide,To commit <concept> ; to eliminate completely .
genocide,génocide,systematic killing of substantial numbers of people
magician,magicien,A person who plays with or practices allegedly supernatural magic .
magician,magicien,A spiritualist or practitioner of mystic arts .
magician,magicien,A performer of tricks or an escapologist .
magician,magicien,An amazingly talented craftsman or scientist .
serenity,sérénité,The state of being serene ; calmness ; peacefulness .
serenity,sérénité,A lack of agitation or disturbance .
serenity,sérénité,A title given to a reigning prince or similar dignitary .
shaggy,hirsute,"rough with long or thick hair , fur or wool ; unshaven , ungroomed , or"
advocate,plaider,encourage support for
eighth,huitième,person or thing in the <concept> position
eighth,huitième,one of eight equal parts of a whole
protected,protégé,"Having the <concept> access modifier , indicating that a program element is accessible to subclasses but not to the program in general ."
protected,protégé,In programming
tenon,tenon,"A projecting member left by cutting away the wood around it , and made to insert into a mortise , and in this way secure together the parts of a frame ."
tenon,tenon,"anatomy A tendon , nerve"
fisherman,pêcheur,person catching fish
suburban,suburbain,Relating to or characteristic of or situated on the outskirts of a city .
suburban,suburbain,relating to outskirts of a city
cumin,cumin,plant Cuminum
cumin,cumin,its seed used as spice
almanac,almanach,"book or table listing astronomical , nautical or other events for the year"
chrysalis,chrysalide,the pupa of a butterfly or moth
external,externe,Outside of something ; on the exterior .
external,externe,Not intrinsic nor essential ; accidental ; accompanying ; superficial .
external,externe,Foreign ; relating to or connected with foreign nations .
external,externe,Away from the mesial plane of the body ; lateral .
garbage,ordures,The bowels of an animal ; refuse parts of flesh ; offal .
garbage,ordures,Food waste material of any kind .
garbage,ordures,Useless or disposable material ; waste material of any kind .
garbage,ordures,A place or receptacle for waste material .
mammal,mammifère,animal of the class Mammalia
prefecture,préfecture,The district governed by a prefect
chew,mâcher,To crush with the teeth by repeated closing and opening of the jaws ; done to food to soften it and break it down by the action of saliva before it is swallowed .
chew,mâcher,"To grind , tear , or otherwise degrade or demolish something with teeth or as with teeth ."
chew,mâcher,To think about something ; to ponder ; to chew over .
militia,milice,army of trained civilians called upon in time of need
pizzeria,pizzeria,A restaurant that bakes and sells pizzas .
pizzeria,pizzeria,outlet that primarily sells pizza
hash,shit,clipped form of hashish
pasta,pâtes,Dough made from wheat and water and sometimes mixed with egg and formed into various shapes ; often sold in dried form and typically boiled for eating .
pasta,pâtes,A dish or serving of <concept> .
pasta,pâtes,<concept> dough made from wheat and water
pasta,pâtes,dough made from wheat and water and sometimes mixed with egg and formed into various shapes ; often sold in dried form and typically boiled for eating
pipit,pipit,"Any of various small passerine birds , mainly from the genus Anthus , that are often drab , ground feeding insectivores of open country ."
pipit,pipit,passerine bird from the genus Anthus
serf,serf,"A partially free peasant of a low hereditary class , slavishly attached to the land owned by a feudal lord and required to perform labour , enjoying minimal legal or customary rights ."
serf,serf,A similar agricultural labourer in 18th and 19th century Europe .
serf,serf,"A <concept> , peasant obliged to remain on the lord s land and to perform extensive chores for him"
serf,serf,peasant
difference,différence,The quality of being different .
difference,différence,A characteristic of something that makes it different from something else .
difference,différence,A disagreement or argument .
difference,différence,Significant change in or effect on a situation or state .
gig,concert,"A performing engagement by a musical group ; or , generally , any job or role , especially for a musician or performer ."
gig,concert,"Any job ; especially one that is temporary ; or alternately , one that is very desirable ."
gig,concert,A two-wheeled horse-drawn carriage .
gig,concert,"A forked spear for catching fish , frogs , or other small animals ."
horseshoe,ferrer,to apply horseshoes to a horse
neural,neural,"Of , or relating to the nerves , neurons or the nervous system ."
neural,neural,Modelled on the arrangement of neurons in the brain .
neural,neural,of or relating to the nerves
ronin,ronin,masterless samurai
tuna,thon,Any of several species of fish of the genus Thunnus in the family Scombridae .
tuna,thon,The edible flesh of the <concept> .
tuna,thon,"The prickly pear , a type of cactus native to Mexico in the genus Opuntia ."
tuna,thon,The fruit of the cactus .
algebra,algèbre,"A system for computation using letters or other symbols to represent numbers , with rules for manipulating these symbols ."
algebra,algèbre,The surgical treatment of a dislocated or fractured bone . Also : a dislocation or fracture .
algebra,algèbre,The study of algebraic structures .
algebra,algèbre,An algebraic structure consisting of a module of a commutative ring along with an additional binary operation that is bilinear .
bleed,saigner,To lose blood through an injured blood vessel .
bleed,saigner,To let or draw blood from .
bleed,saigner,To take large amounts of money from .
bleed,saigner,To steadily lose .
classifier,classifieur,( computing )
classifier,classifieur,( linguistics ) word or morpheme used to indicate a semantic class
classifier,classifieur,someone who classifies
pastille,pastille,A soft flavoured candy .
pastille,pastille,"A medicinal pill , originally compressed herbs . A throat pastille is a large candy-like lozenge , which , when sucked , releases oils to soothe a sore throat and sometimes vapors to help unblock the nose or sinuses ."
pastille,pastille,A small granular half spheroid piece of material .
pastille,pastille,small roll of dough containing fragrant ingredients baked in order to perfume the air
vandal,vandale,"A person who needlessly destroys , defaces , or damages other people s property ."
vandal,vandale,person who destroys or damages property
aperture,ouverture,"An opening ; an open space ; a gap , cleft , or chasm ; a passage perforated ; a hole"
aperture,ouverture,Something which restricts the diameter of the light path through one plane in an optical system .
aperture,ouverture,"The diameter of the <concept> which restricts the width of the light path through the whole system . For a telescope , this is the diameter of the objective lens ."
aperture,ouverture,"The large-diameter antenna used for receiving and transmitting radio frequency energy containing the data used in communication satellites , especially in the geostationary belt . For a comsat , this is typically a large reflective dish antenna ; sometimes called an array ."
dentition,dentition,set of natural teeth
scared,effrayé,"Feeling fear ; afraid , frightened ."
scared,effrayé,"afraid , frightened"
tow,étoupe,To pull something behind one using a line or chain ; to haul .
tow,étoupe,To aid someone behind by shielding them from wind resistance .
tow,étoupe,The act of towing and the condition of being towed .
tow,étoupe,"Something , such as a tugboat , that tows ."
honest,honnête,"Scrupulous with regard to telling the truth ; not given to swindling , lying , or fraud ; upright ."
honest,honnête,"True , especially as far as is known by the person making the statement ; fair ; unbiased ."
honest,honnête,In good faith ; without malice .
honest,honnête,Earned or acquired in a fair manner .
humanity,humanité,Mankind ; human beings as a group .
humanity,humanité,The human condition or nature .
humanity,humanité,The quality of being benevolent ; humane traits of character ; humane qualities or aspects .
humanity,humanité,Any academic subject belonging to the humanities .
operational,opérationnel,determined by means of practical measures
revolt,révolte,act of revolting
dasein,dasein,"Being ; especially the nature of being ; existence , presence , , suchness , essence"
dasein,dasein,philosophy :
hype,promouvoir,Promotion or propaganda ; especially exaggerated claims .
hype,promouvoir,To promote heavily ; to advertise or build up .
marsupial,marsupial,"A mammal of which the female has a pouch in which it rears its young , which are born immature , through early infancy , such as the kangaroo or koala , or else members of the Marsupialia like the shrew opposum ."
marsupial,marsupial,Of or pertaining to a <concept> .
marsupial,marsupial,Of or relating to a marsupium .
marsupial,marsupial,<concept> mammal species whose females have a pouch to carry the offspring
privacy,intimité,The state of being private ; the state of not being seen by others .
privacy,intimité,state of being private
specimen,spécimen,An individual instance that represents a class ; an example .
specimen,spécimen,"A sample , especially one used for diagnostic analysis ."
specimen,spécimen,An eligible man .
specimen,spécimen,"mark , token , sign , indication"
caudillo,caudillo,"A military dictator , especially one ruling in Latin America ."
caudillo,caudillo,military dictator in South America
cuckoo,coucou,Crazy ; not sane .
wraith,fantôme,"A ghost or specter , especially a person s likeness seen just after their death ."
wraith,fantôme,"A ghost or specter , especially seen just after a person s death"
angst,angoisse,Emotional turmoil ; painful sadness .
angst,angoisse,"A feeling of acute but vague anxiety or apprehension often accompanied by depression , especially philosophical anxiety ."
angst,angoisse,"afraid , anxious , alarmed"
angst,angoisse,feeling of acute anxiety or apprehension
anvil,enclume,block used in blacksmithing
anvil,enclume,bone in inner ear
bistro,bistro,A small restaurant .
bistro,bistro,A small bar or pub .
bistro,bistro,small restaurant
decline,refuser,run through from first to last
decline,refuser,American football or Canadian football : reject a penalty against an opposing team
ecu,écu,European Currency Unit
inexorable,inexorable,Unable to be persuaded ; relentless ; unrelenting .
inexorable,inexorable,Impossible to stop or prevent ; inevitable .
inexorable,inexorable,Impossible to stop or prevent : inevitable
rocking,super,"Shaking , swaying or moving back and forth ."
clamp,attache,"A brace , band , or clasp for strengthening or holding things together ."
clamp,attache,"An instrument used to temporarily shut off blood vessels , etc ."
clamp,attache,"A mass of bricks heaped up to be burned ; or of ore for roasting , or of coal coking ."
clamp,attache,"A piece of wood across the grain of a board end to keep it flat , as in a breadboard ."
constipation,constipation,state of bowels
cornel,cornouiller,"Any tree or shrub of the dogwood subgenera , or , especially Cornus mas , the European cornel ."
cornel,cornouiller,"The cherry-like fruit of such plants , certain of which are edible ."
buffer,tamponner,maintain a given acidity
caper,câpre,A playful leap or jump .
caper,câpre,A jump while dancing .
caper,câpre,A prank or practical joke .
caper,câpre,usually in plural Playful behaviour .
kettle,bouilloire,"A vessel for boiling a liquid or cooking food , usually metal and equipped with a lid ."
kettle,bouilloire,The quantity held by a <concept> .
kettle,bouilloire,A vessel for boiling water for tea ; a teakettle .
kettle,bouilloire,"A <concept> hole , sometimes any pothole ."
nougat,nougat,a confection of honey and roasted nuts
picador,picador,a lancer mounted on horseback who assists a matador
sake,saké,"Cause , interest or account ."
sake,saké,Purpose or end ; reason .
sake,saké,The benefit or regard of someone or something .
sake,saké,"Contention , strife ; guilt , sin , accusation or charge ."
archimandrite,archimandrite,"The superior of a large monastery , or group of monasteries , in the Orthodox Church"
bolide,bolide,An extremely bright meteor
bolide,bolide,Any extraterrestrial body that collides with Earth
bolide,bolide,"fast racing car ; speedster , high-powered car"
bolide,bolide,extremely bright meteor
glyph,glyphe,"carved relief representing a sound , word or idea"
pixie,lutin,A playful sprite or or fairy-like creature .
pixie,lutin,"A cute , petite woman with short hair ."
pixie,lutin,"An upper-atmospheric optical phenomenon associated with thunderstorms , a short-lasting pinpoint of light on the surface of convective domes that produces a gnome ."
pixie,lutin,playful sprite or or fairy-like creature
puff,souffle,A sharp exhalation of a small amount of breath through the mouth .
puff,souffle,The ability to breathe easily while exerting oneself .
puff,souffle,A small quantity of gas or smoke in the air .
puff,souffle,"An act of inhaling smoke from a cigarette , cigar or pipe ."
stray,errant,having gone astray
cabal,cabale,A usually secret exclusive organization of individuals gathered for a political purpose .
cabal,cabale,A secret plot .
cabal,cabale,An identifiable group within the tradition of Discordianism .
cabal,cabale,secret organization
chocolatier,chocolatier,producer of chocolate
recognition,reconnaissance,the act of recognizing or the condition of being recognized
recognition,reconnaissance,an awareness that something observed has been observed before
recognition,reconnaissance,acceptance as valid or true
recognition,reconnaissance,official acceptance of the status of a new government by that of another country
victorious,victorieux,being the winner
dengue,dengue,"An acute febrile disease of the tropics caused by the Dengue virus , a flavivirus , transmitted by Aedes mosquitoes , and characterized by high fever , rash , headache , and severe muscle and joint pain ."
dengue,dengue,playacting overdramatic behaviour
discover,découvrir,To find or learn something for the first time .
discover,découvrir,To remove the cover from ; to uncover .
discover,découvrir,"To expose , uncover ."
discover,découvrir,To create by moving a piece out of another piece s line of attack .
eel,anguille,"Any freshwater or marine fish of the order Anguilliformes , which are elongated and resemble snakes ."
eel,anguille,To fish for eels .
eel,anguille,To move with a sinuous motion like that of an eel .
eel,anguille,"to know , to have knowledge of"
unfinished,inachevé,not finished
fidelity,fidélité,Faithfulness to one s duties .
fidelity,fidélité,"Loyalty to one s spouse or partner , including abstention from extramarital affairs ."
fidelity,fidélité,"Accuracy , or exact correspondence to some given quality or fact ."
fidelity,fidélité,The degree to which a system accurately reproduces an input .
lyceum,lycée,A public hall designed for lectures or concerts .
lyceum,lycée,A school at a stage between elementary school and college .
lyceum,lycée,An association for literary improvement .
lyceum,lycée,a public hall designed for lectures or concerts
neighborhood,voisinage,"The quality of being a neighbor , of living nearby , next to each-other ; proximity ."
neighborhood,voisinage,"Close proximity , nearby area ; particularly , close proximity to one s home ."
neighborhood,voisinage,The inhabitants of a residential area .
neighborhood,voisinage,A formal or informal division of a municipality or region .
okapi,okapi,Large ruminant mammal
owner,propriétaire,One who owns something .
owner,propriétaire,The captain of a ship .
owner,propriétaire,one who owns
terrorism,terrorisme,The deliberate commission of an act of violence to create public fear through the suffering of the victims in the furtherance of a political or social agenda .
terrorism,terrorisme,The use of unlawful violence against people or property to achieve political objectives .
terrorism,terrorisme,"A form of psychological manipulation through warfare to the purpose of political or religious gains , by means of deliberately creating a climate of fear amongst the inhabitants of a specific geographical region ."
terrorism,terrorisme,use of terror as a means of coercion
abduction,enlèvement,Leading away ; a carrying away . Early 17 th century .
abduction,enlèvement,"The act of or abducting ; a drawing apart ; the movement which separates a limb or other part from the axis , or middle line , of the body . Mid 17 th century ."
abduction,enlèvement,"A syllogism or form of argument in which the major premise is evident , but the minor is only probable . Late 17 th century ."
abduction,enlèvement,"The wrongful , and usually forcible , carrying off of a human being . Mid 18 th century ."
analog,analogue,structural derivative
goy,goy,"A non-Jew , a gentile ."
fennec,fennec,"A small fox of the species Vulpes zerda , found in the Sahara and having distinctive oversized ears ."
reap,faucher,"To cut with a sickle , scythe , or reaping machine"
reap,faucher,to gather by cutting .
reap,faucher,"To obtain or receive as a reward , in a good or a bad sense ."
reap,faucher,"To terminate a child process that has previously exited , thereby removing it from the process table ."
specific,spécifique,explicit or definite
specific,spécifique,Pertaining to a species .
specific,spécifique,pertaining to a taxon at the rank of species
specific,spécifique,"special , distinctive or unique"
barbican,barbacane,A [ [ tower ] ] at the [ [ entrance ] ] to a [ [ castle ] ] or [ [ fortified ] ] [ [ town ] ]
magnon,magnon,quantum of a spin wave
pidgin,pidgin,"an amalgamation of two disparate languages , used by two populations having no common language as a lingua franca to communicate with each other , lacking formalized grammar and having a small , utilitarian vocabulary and no native speakers ."
pidgin,pidgin,linguistics <concept> amalgamation of two languages having no native speakers
pidgin,pidgin,amalgamation of two languages having no native speakers
protect,protéger,to keep safe
automation,automatisation,"The act or process of converting the controlling of a machine or device to a more automatic system , such as computer or electronic controls ."
automation,automatisation,converting the controlling of a machine to an automatic system
bait,appât,"Any substance , especially food , used in catching fish , or other animals , by alluring them to a hook , snare , trap , or net ."
bait,appât,Food containing poison or a harmful additive to kill animals that are pests .
bait,appât,Anything which allures ; something used to lure or entice someone or something into doing something
bait,appât,"A portion of food or drink , as a refreshment taken on a journey ; also , a stop for rest and refreshment ."
bald,chauve,"Having no hair , fur or feathers ."
bald,chauve,Having no hair on the head .
bald,chauve,Of tyres : whose surface is worn away .
bald,chauve,statement or account Unembellished .
biblical,biblique,Of or relating to the Bible
birdie,oiselet,A bird ; a birdling .
birdie,oiselet,The completion of a hole one stroke below par .
birdie,oiselet,A man s penis .
birdie,oiselet,An electromagnetic signal generated from within an electronic device .
converse,réciproque,proposition of the specific form
oxygen,oxygène,chemical element with an atomic number of 8 and relative atomic mass of .
oxygen,oxygène,"Molecular <concept> , a colorless , odorless gas at room temperature ."
oxygen,oxygène,"A mixture of <concept> and other gases , administered to a patient to help him or her to breathe ."
quintal,quintal,hundredweight
advertising,publicité,Communication whose purpose is to influence potential customers about products and services .
advertising,publicité,The industry or profession made up of such communications .
advertising,publicité,communication
gab,bagou,The mouth or gob .
gab,bagou,One of the ends of rods controlling reversing in early steam engines .
gab,bagou,a large dove
wort,moût,liquid extract
cement,ciment,A powdered substance that develops strong adhesive properties when mixed with water .
cement,ciment,"The paste-like substance resulting from mixing such a powder with water , or the rock-like substance that forms when it dries ."
cement,ciment,Any material with strong adhesive properties .
cement,ciment,"A bond of union ; that which unites firmly , as persons in friendship or in society ."
contention,dispute,"Argument , contest , debate , strife , struggle ."
contention,dispute,"A point maintained in an argument , or a line of argument taken in its support ; the subject matter of discussion of strife ; a position taken or contended for ."
contention,dispute,Competition by parts of a system or its users for a limited resource .
contention,dispute,dispute ; quarrel ; disagreement
olivine,olivine,Any of a group of olive green silicate minerals that crystallize in the orthorhombic system .
olivine,olivine,family of minerals forming orthorhombic crystals
sentry,sentinelle,"A guard , particularly on duty at the entrance to a military base ."
sentry,sentinelle,<concept> duty ; time spent being a sentry .
sentry,sentinelle,"A form of drag to be towed underwater , which on striking bottom is upset and rises to the surface ."
shear,cisailles,"To cut , originally with a sword or other bladed weapon , now usually with shears , or as if using shears ."
shear,cisailles,To remove the fleece from a sheep etc by clipping .
shear,cisailles,To deform because of forces pushing in opposite directions .
shear,cisailles,"To reap , as grain ."
spectator,spectateur,"One who watches an event ; especially , one held outdoors ."
quinine,quinine,alkaloid used to treat malaria
rut,sillonner,make a furrow
pita,pita,bread pouch used for making sandwiches
rebus,rébus,A kind of word puzzle which uses pictures to represent words or parts of words .
rebus,rébus,A pictorial suggestion on a coat of arms of the name of the person to whom it belongs .
rebus,rébus,a <concept> ; a kind of word puzzle
esquire,écuyer,a male member of the gentry ranking below a knight
esquire,écuyer,an honorific sometimes placed after a man s name
esquire,écuyer,A gentleman who attends or escorts a lady in public .
esquire,écuyer,a squire ; a youth who in the hopes of becoming a knight attended upon a knight
gopher,gaufre,a small burrowing rodent
integral,intégrale,limit of sums
keel,quille,A large beam along the underside of a ship ’ s hull from bow to stern .
keel,quille,"Sometimes , a rigid , flat piece of material anchored to the lowest part of the hull of a ship to give it greater control and stability ."
keel,quille,"In a dirigible , a construction similar in form and use to a ship s keel ; in an aeroplane , a fin or fixed surface employed to increase stability and to hold the machine to its course ."
keel,quille,A type of flat-bottomed boat .
packer,emballeur,"A person whose business is to pack things ; especially , one who packs food for preservation"
packer,emballeur,A software program that compresses code or data .
packer,emballeur,A ring of packing or a special device to render and watertight the space between the tubing and bore of an oil well .
packer,emballeur,"An artificial penis or similar object worn by a drag king , transman , etc . , inside the trousers ."
stead,lieu,"A place , or spot , in general . 16 } }"
stead,lieu,A place where a person normally rests ; a seat . 10 th -18 th c .
stead,lieu,A specific place or point on a body or other surface . 11 th -15 th c .
stead,lieu,"An inhabited place ; a settlement , city , town etc . 13 th -16 th c ."
tenure,titularisation,A status of possessing a thing or an office ; an incumbency .
tenure,titularisation,A period of time during which something is possessed .
tenure,titularisation,A status of having a permanent post with enhanced job security within an academic institution .
tenure,titularisation,A right to hold land under the feudal system .
worship,culte,"The condition of being worthy ; honour , distinction ."
worship,culte,The devotion accorded to a deity or to a sacred object .
worship,culte,The religious ceremonies that express this devotion .
worship,culte,Honour ; respect ; civil deference .
distillery,distillerie,a place where distillation takes place
exclave,exclave,a country s territory not connected to the main part
lifting,lifting,the action or process by which something is lifted ; elevation
lifting,lifting,weightlifting ; a form of exercise in which weights are lifted
lifting,lifting,plastic surgery for tightening facial tissues and improving the facial appearance
röntgen,röntgen,unit of exposure to ionizing radiation
sticky,collant,Able or likely to stick .
sticky,collant,Potentially difficult to escape from .
sticky,collant,"Of weather , hot and windless and with high humidity , so that people feel sticky from sweating ."
sticky,collant,Appearing on all virtual desktops .
spore,spore,"A reproductive particle , usually a single cell , released by a fungus , alga , or plant that may germinate into another ."
spore,spore,A thick resistant particle produced by a bacterium or protist to survive in harsh or unfavorable conditions .
spore,spore,To produce spores .
spore,spore,<concept> resistant particle produced by bacterium or protist
stairs,escalier,contiguous set of steps
household,domestique,found in or having its origin in a home
lick,lécher,to stroke with a tongue
lick,lécher,colloquial : to defeat decisively
limbo,limbo,dance with bar that is lowered
synergy,synergie,A synonym of binding energy .
synergy,synergie,"The cooperation of two or more nerves , muscles , organs , etc ."
synergy,synergie,The combined action of two or more drugs where the effects are stronger than their mere sum .
synergy,synergie,"result of combining two different groups , people , objects or processes"
adjuvant,adjuvant,helping ; helpful ; from 16th c .
adjuvant,adjuvant,"Designating a supplementary form of treatment ; specifically , a cancer therapy administered after removal of a primary from 19th c ."
ankh,ankh,"A cross shaped like a T with a loop at the top , the Egyptian hieroglyph representing the Egyptian triliteral and often used as an amulet or charm for this concept ."
ankh,ankh,A tau cross .
ankh,ankh,"An afro-centric symbol of spiritualism , esp. as it relates to Kemetic spiritualism ."
ankh,ankh,<concept> cross shaped like a T with a loop at the top
developer,concepteur,A person or entity engaged in the creation or improvement of certain classes of products .
developer,concepteur,"A real estate <concept> ; a person or company who prepares a parcel of land for sale , or creates structures on that land ."
developer,concepteur,A film <concept> ; a person who uses chemicals to create photographs from photograph negatives .
developer,concepteur,A liquid used in the chemical processing of traditional photos .
falconer,fauconnier,A person who breeds or trains hawks or other birds of prey for taking birds or game . < ! --
falconer,fauconnier,One who follows the sport of fowling with hawks .
falconer,fauconnier,a person who breeds or trains hawks
maharaja,maharadja,"A Hindu monarch ranking above a raja , an emperor"
maharaja,maharadja,a Hindu prince ranking above a raja
ninth,neuvième,The ordinal form of the number nine .
ninth,neuvième,one of nine equal parts of a whole
regulation,règlement,EU : legislative act
regulation,règlement,physiological process maintaining
regulation,règlement,law or administrative rule
regulation,règlement,mechanism DNA transcription
rhodium,rhodium,A metallic chemical element with an atomic number of 45 .
tub,bassine,"A flat-bottomed vessel , of width similar to or greater than its height , used for storing or packing things , or for washing things in ."
tub,bassine,The contents or capacity of such a vessel .
tub,bassine,A slow-moving craft .
tub,bassine,"Any structure shaped like a <concept> , such as a certain old form of pulpit , a short broad boat , etc ."
doctrinal,doctrinal,"Of , relating to , involving , belonging to or concerning a doctrine ."
doctrinal,doctrinal,of or relating to a doctrine
gunner,artilleur,"Artillery soldier , or such who holds private rank . Abbreviated Gnr ."
gunner,artilleur,A person who operates a gun .
gunner,artilleur,An excessive go-getter ; one exhibiting .
gunner,artilleur,A player on the kicking side whose primary job is to tackle the kickoff returner or punt returner .
handle,traiter,take care of with the hands
handle,traiter,manage with the hands
handle,traiter,touch ; feel or hold with the hand
handle,traiter,"deal with ( a subject , argument , topic , or theme ) in speaking , in writing , or in art"
jail,prison,"A place or institution for the confinement of persons held in lawful custody or detention , especially for minor offenses or with reference to some future judicial proceeding ."
jail,prison,The condition created by the requirement that a horse claimed in a claiming race not be run at another track for some period of time .
jail,prison,"In dodgeball and related games , the area where players who have been struck by the ball are confined ."
lament,plaindre,express grief
meteorological,météorologique,relating to meteorology
milky,laiteux,resembling milk in color or consistency
seminar,séminaire,"A class held for advanced studies in which students meet regularly to discuss original research , under the guidance of a professor ."
seminar,séminaire,A meeting held for the exchange of useful information by members of a common business community .
seminar,séminaire,class held for advanced studies
subscriber,abonné,a person who subscribes to a publication or a service
vicinal,vicinal,Of or pertaining to a neighborhood ; neighboring .
vicinal,vicinal,Describing identical atoms or groups attached to nearby atoms in a molecule .
vicinal,vicinal,"Describing subordinate planes on a crystal , which are very near to the fundamental planes in angles , and sometimes take their place ."
vicinal,vicinal,of or pertaining to a neighborhood
croquet,croquet,"A game played on a lawn , in which players use mallets to drive balls through hoops ."
croquet,croquet,A shot in this game in which the striker s ball and another ball are moved by hitting the striker s ball when they have been placed in contact following a roquet .
encryption,chiffrement,"process of obscuring information to make it unreadable without special knowledge , key files , and / or passwords"
entertainer,amuseur,person who entertains
improved,amélioré,that has been made better
unite,unir,To bring together as one .
unite,unir,To come together as one .
unite,unir,Plural of unito
unite,unir,( transitive ) to bring together as one
drill,coutil,cotton fabric
granny,mémé,An elderly woman .
granny,mémé,colloquial : grandmother
granny,mémé,"colloquial , derogatory : an elderly woman"
inductive,inductif,"of , or relating to logical induction"
inductive,inductif,"of , relating to , or arising from induction or inductance"
inductive,inductif,introductory or preparatory
inductive,inductif,influencing ; tending to induce or cause
rooster,coq,A male domestic chicken or other gallinaceous bird .
rooster,coq,A bird or bat which roosts or is roosting .
