radiculaire	radicular
thérémine	theremin
freiner	brake
scoutisme	scouting
ippon	ippon
bastion	stronghold
formalisme	formalism
librairie	bookseller
immérité	undeserved
irascible	petulant
bourré	stuffed
nucléique	nucleic
sémiologique	semiological
drisse	halyard
manipulateur	manipulative
pondération	weighting
tirer	pull
arsi	arsi
invasion	invasion
concis	sententious
hyperinflation	hyperinflation
losange	rhombus
épigénétique	epigenetic
décerner	award
ornithoptère	ornithopter
vièle	vielle
presbytie	presbyopia
chaise	chair
grâce	gracefulness
modulo	modulo
asparagine	asparagine
tâter	feel
septime	septime
popcorn	popcorn
démarrage	startup
décidément	definitely
tunnelier	mole
vétiver	vetiver
computer	compute
discipline	discipline
stagiaire	trainee
occidental	westerner
grésillement	sizzle
fécal	fecal
débordé	overworked
vermiculé	vermiculate
client	server
sexe	sex
anoblir	ennoble
féminin	woman
souvent	often
édit	edict
extensif	extensive
poursuite	pursuit
myopathie	myopathy
transsexuel	transsexual
exfiltrer	exfiltrate
saloon	saloon
coïncider	coincide
aumônier	almoner
aube	alb
bât	saddle
sibyllin	sibylline
malhonnêteté	dishonesty
clarté	clarity
expérimenter	experience
odorat	smell
prédation	predation
corbeau	raven
impartialité	impartiality
thermorégulation	thermoregulation
fourneau	stove
crever	burst
culot	seasoning
endoscopie	endoscopy
geste	gesture
fanfaron	braggart
cueillir	pick
bouche	mouth
bienheureux	beatification
interrompre	interrupt
procureur	prosecutor
rapprochement	rapprochement
zigzag	zigzag
portable	portable
ballon	balloon
provitamine	vitamer
refléter	reflect
eurêka	eureka
cynisme	cynicism
décentralisation	decentralization
pointu	pointed
glaive	glaive
ferrique	ferric
confortable	comfy
querelleur	quarrelsome
superacide	superacid
papillote	papillote
aspirant	ensign
renier	disown
rame	ream
corps	corporeal
moue	pout
majesté	majesty
divers	diverse
inorganique	inorganic
effronté	cheeky
radioactif	radioactive
infraction	breach
raison	motive
pute	ho
anthropomorphe	anthropomorph
protecteur	protector
décrémentation	decrement
laque	lac
chrestomathie	chrestomathy
wasabi	wasabi
néoplasme	neoplasm
culotte	breeches
ostréiculteur	oysterman
cérium	cerium
tampon	wad
courgette	zucchini
artériosclérose	arteriosclerosis
dzo	dzo
potentiomètre	potentiometer
cauchemardesque	nightmarish
garbure	garbure
capable	capable
dépôt	deposit
définition	definition
réceptionner	receive
ambroisie	ambrosia
aventurisme	adventurism
frêne	ash
égalisation	equalization
indigne	ignoble
monitoire	monitory
gingembre	ginger
déflecteur	deflector
planter	plant
barboter	dabble
bois	club
frein	restraint
élever	raise
métazoaires	metazoa
sonnette	doorbell
live	live
sémantiquement	semantically
guqin	guqin
kelvin	kelvin
localisation	localization
désindustrialisation	deindustrialization
vampire	vampire
innocent	innocent
milonga	milonga
cylindre	cylinder
publication	publicizing
conception	design
fondu	molten
dériver	divert
biathlète	biathlete
dissonance	dissonance
pyramidal	pyramidal
charbray	charbray
filou	thief
embargo	release
concorde	concord
zen	zen
syphilis	syphilis
lapacho	lapacho
miraculeusement	miraculously
avance	advance
dimère	dimer
traducteur	translator
bilatérien	bilaterian
tarot	tarot
armistice	armistice
litière	litter
amban	amban
soutane	frock
féminin	womanly
calicot	calico
hypoxie	hypoxia
aisé	easy
royal	kingly
ligne	line
nauséabond	dyspeptic
modélisme	modelling
hypovolémique	hypovolemic
mitraille	grapeshot
nimbe	nimbus
twill	tweel
ombelle	umbel
chirurgien	surgeon
remarquable	eminent
brigantine	brigantine
chadouf	shadoof
pataca	pataca
éperon	spur
pavot	poppy
tagète	marigold
impressionniste	impressionist
détresse	distress
lombes	loins
fébrile	febrile
printanier	spring
négritude	negritude
invérifiable	unverifiable
radiolaire	radiolarian
référendum	referendum
denier	denarius
chenille	caterpillar
lesbien	lesbian
coopération	cooperation
facture	invoice
initiale	initial
répété	repeated
anonyme	nameless
étoupe	tow
transformateur	transformer
proline	proline
appui	stanchion
phylactère	phylactery
algorithmique	algorithmic
carreau	square
dithyrambe	dithyramb
gala	gala
oisillon	fledgling
réinstaller	reinstall
yaourt	yogurt
hargneux	snappish
simplification	simplification
crevasse	crevasse
fatwa	fatwa
skandha	skandha
accrocher	hook
chaussure	heel
brusque	brusque
névrosisme	neuroticism
macadam	macadam
nuptial	nuptial
quaternion	quaternion
offshore	offshore
ria	ria
protèle	aardwolf
biker	biker
jambe	leg
ovovivipare	ovoviviparous
loupe	wen
avidement	greedily
truc	thingamajig
elfe	elf
monopsone	monopsony
élémentaire	elemental
retenir	retain
testostérone	testosterone
sodium	sodium
grog	grog
dissidence	dissent
torseur	screw
dédicacer	autograph
pâteux	mushy
hune	top
arbitre	judge
client	buyer
reculer	recede
qqch	sth
ravager	devastate
controversiste	controversialist
recroqueviller	cower
paradigme	paradigm
gourmet	gourmet
actualisme	actualism
saler	pickle
arracher	rip
paillasson	mat
exclure	preclude
lâche	coward
distraction	distraction
constipation	constipation
milliardaire	billionaire
expectoration	expectoration
présenter	introduce
répondre	correspond
batelier	boatman
séquelle	sequela
okapi	okapi
candeur	candor
démanteler	disband
plébéien	plebeian
mandrin	mandrel
irritation	irritation
favicon	favicon
safran	saffron
labyrinthique	labyrinthine
cou	neck
aralia	aralia
overtime	overtime
annihilation	annihilation
analcime	analcime
augmenter	improve
excellemment	excellently
chose	sign
unilatéralisme	unilateralism
parasitologie	parasitology
encre	ink
hampe	shaft
aérodyne	aerodyne
voyelle	vowel
modo	mod
dépendance	dependence
désoler	desolate
licorne	unicorn
cardinalat	cardinalate
portefeuille	folder
du	celluloid
mathématique	mathematical
sulfure	sulphur
dilater	dilate
propriétaire	landlord
antithétique	antithetical
similaire	similar
commisération	commiseration
émancipé	emancipated
méningite	meningitis
parieur	punter
éleusine	goosegrass
fermenter	ferment
proue	bow
certifier	attest
furtif	surreptitious
fagot	faggot
rajeunissement	rejuvenation
provincialisme	provincialism
réapprovisionnement	procurement
consultatif	advisory
corvidé	corvid
chimère	chimera
programmateur	programmer
désoxyribose	deoxyribose
fibule	fibula
malléabilité	malleability
métis	metis
yeoman	yeoman
graphe	graph
terrorisme	terrorism
amnésie	amnesia
refrain	refrain
hydrolyse	hydrolysis
impressionnant	impressive
sociographie	sociography
dispute	controversy
causatif	causative
bionique	bionics
route	route
pustule	pustule
chasseresse	huntress
ajusteur	fitter
pair	peer
tronc	body
sécession	secession
cure	treatment
orage	storm
tétraèdre	tetrahedron
fonds	fund
sardoine	sardonyx
cocher	tick
caverne	cavern
patène	patina
indigence	indigence
moulage	molding
propriété	property
plate	punt
moussu	mossy
intergiciel	middleware
hypocrisie	hypocrisy
corde	bow
azuki	adzuki
psychiatrique	psychiatric
gamme	array
almandin	almandine
passerelle	gangway
propulsion	propulsion
homonyme	homonymous
prograde	prograde
oxyder	oxidise
occipital	occipital
suffusion	suffusion
distance	distance
cognomen	cognomen
trou	hole
crayon	pencil
carabine	carbine
porphyrine	porphyrin
algazelle	gemsbok
absoudre	absolve
inconscience	unconsciousness
dévoiler	debunk
feindre	feign
ortie	nettle
hirondelle	swallow
rencontre	encounter
traversée	crossing
ingénieusement	cleverly
allergénique	allergenic
réticulum	reticulum
sculpter	sculpture
poltergeist	poltergeist
pénétrer	penetrate
tension	tension
arpent	arpent
manière	manner
cornaline	carnelian
désagréable	unpleasant
agonie	agony
super	super
appelant	appellant
décoder	decode
kickboxeur	kickboxer
glène	glenoid
épuisé	spent
mélange	mixture
cattleya	cattleya
hermine	fur
foxhound	foxhound
toboggan	toboggan
admissible	admissible
industrialisation	industrialization
mouton	mutton
navette	shuttle
antihéros	antihero
graveleux	gritty
pince	pliers
timide	shyness
rurbain	rurban
pincette	tongs
flash	lightning
exécuter	execute
arène	arene
stupide	dumb
pensable	conceivable
lame	screwdriver
rechargeable	refillable
irruption	outbreak
canule	cannula
carnaval	carnival
introniser	enthrone
muséologie	museology
hiver	season
cliquer	click
but	target
brèche	breccia
croyant	believer
paparazzi	paparazzo
cypéracées	sedge
monastère	monastery
acidité	acidity
taxation	taxation
disloquer	dislocate
villageois	villager
allouer	grant
seulement	exclusively
connivence	connivance
destitution	deposition
capsule	capsule
calzone	calzone
inhalation	inhalation
inopportun	inopportune
extractible	extractable
polyculture	polyculture
indirect	vicarious
consanguin	consanguineous
allocution	address
croc	fang
hygrocybe	waxcap
baliste	ballista
diplômer	graduate
biochimiste	biochemist
réunion	gathering
peupler	populate
alcoolisé	alcoholic
compter	reckon
spéculation	speculation
argent	metal
serpette	billhook
masculin	male
hypermétropie	hypermetropia
précautionneusement	cautiously
marxisme	marxism
broméline	bromelain
fonder	found
curé	parish
engendrement	fathering
cyberguerre	cyberwar
adjectif	adjectival
dissentiment	dissent
palimpseste	palimpsest
ambre	amber
manifestation	manifestation
exhaustivement	exhaustively
fakelore	fakelore
jaunir	yellow
bégaiement	stutter
moissonneur	reaper
bromoforme	bromoform
idolâtrie	idolatry
sabordage	scuttle
indicateur	indicator
hésitant	hesitant
métallurgiste	metallurgist
didyme	didymium
rush	onslaught
pluralité	plurality
progressivement	gradually
choisir	select
friser	curl
orque	orc
tentant	tempting
défoliant	defoliant
vicomte	viscount
entraîneur	coach
sémantique	semantic
thym	thyme
grossièrement	rudely
principe	principle
imperméable	raincoat
hypercalcémie	hypercalcemia
phonon	phonon
image	image
timbale	kettledrum
altostratus	altostratus
pyrotechnique	pyrotechnic
mou	soft
nous	us
assainir	cure
collégialité	collegiality
mauviette	wimp
électrolytique	electrolytic
téléologie	teleology
pro	pro
vibration	vibration
contourner	orbit
piton	piton
binturong	binturong
yatagan	yataghan
mare	pond
biannuel	biannual
limoger	dismiss
crédibilité	credibility
galeriste	gallerist
inconstant	fickle
descriptif	descriptive
onomatopéique	onomatopoetic
clairon	bugle
parcimonie	parsimony
égocentrique	egocentric
élytre	elytron
doublon	doubloon
exemple	exemplar
connoter	connote
douleur	hurt
vomir	vomit
uniquement	uniquely
homozygote	homozygote
investiguer	investigate
implicite	implicit
mèche	lamp
xanthine	xanthine
monochrome	monochrome
steeple	steeplechase
humidité	humidity
bandit	hoodlum
modéliste	designer
marmite	casserole
format	format
accrocher	cling
cylindrique	cylindrical
crise	crisis
étable	crib
occupation	hobby
restes	remains
ohé	yoohoo
nombre	number
vain	conceited
histologique	histologic
torrentiel	torrential
piéger	trap
cab	cab
énonciation	enunciation
éternel	unending
testicule	testicle
décevant	disappointing
crampon	spike
féliciter	congratulate
cintre	hanger
lard	lard
signature	signature
ovoïde	ovoid
vers	rhyme
végétal	vegetable
cybernétique	cybernetics
inoculer	inoculate
pédicure	chiropodist
savonnier	soapberry
ménager	handle
semblable	alike
gredin	rogue
galoper	gallop
participation	participation
catalogue	catalogue
cithare	zither
tambour	tambour
candidater	candidate
saboter	sabotage
ampère	amp
alcali	alkali
annonceur	advertiser
laminage	lamination
préservatif	condom
confrontation	confrontation
chamanisme	shamanism
renouveler	refurbish
dentelle	lacy
prénom	praenomen
philatélie	philately
alternative	alternative
obstacle	obstacle
backend	backend
piéton	pedestrian
aumône	handout
rhododendron	rhododendron
réconfort	condolence
fallacieux	fallacious
démon	daemon
trichlorure	trichloride
égaler	equal
compréhensible	comprehensible
avortement	abortion
faiseur	maker
accro	hooked
apathie	ennui
décennie	decennium
joaillerie	jewellery
cuillerée	spoonful
veille	vigil
crevette	prawn
grainer	granulate
cérumen	earwax
sourcier	dowser
allure	gait
dépravation	depravation
synesthésie	synaesthesia
raboter	plane
gazon	grass
ribosomique	ribosomal
viscosité	viscous
vigoureusement	forcefully
chose	object
biryani	biryani
rat	rat
compétition	competition
cryptogramme	cryptogram
déambuler	stroll
raie	streak
broussailles	undergrowth
voler	heist
éthologue	ethologist
aspérité	snag
relayeur	relayer
claque	galosh
nétiquette	netiquette
régulier	regular
mépris	scorn
chambellan	chamberlain
organe	composed
lisse	steady
condiment	en
tanker	tanker
coq	chicken
vêtements	clothes
procession	procession
stomatite	stomatitis
station	station
fruité	fruity
chaebol	chaebol
chancelier	chancellor
tajine	tajine
intensivement	intensively
interviewer	interview
comté	shire
amusement	amusement
panettone	panettone
rationaliser	streamline
journal	paper
décidément	decidedly
actionnaire	shareholder
godemichet	dildo
interurbain	intercity
désirabilité	desirability
accorder	attune
réunifier	reunify
impesanteur	weightlessness
prospérité	prosperity
indemnisation	compensation
irrespectueux	disrespectful
trousse	kit
dérober	steal
acrobatique	acrobatic
marelle	hopscotch
gémir	wail
déductibilité	deductibility
revêtement	covering
interdisciplinaire	interdisciplinary
chrême	chrism
spectre	spectrum
traditionalisme	traditionalism
exposition	exhibit
loufoque	crackpot
déraillement	derailment
euphorisant	euphoriant
chope	mug
kurtosis	kurtosis
trackball	trackball
fusion	merger
statut	rule
batifoler	frolic
bien	possession
horriblement	alarmingly
koudou	kudu
téléscripteur	teleprinter
déchirer	tear
bord	margin
décrépitude	decrepitude
involontairement	unintentionally
blasonné	armigerous
jurer	swear
impassibilité	impassibility
cinématique	cutscene
paniquer	panic
pratique	practice
autonyme	autonym
rhétoricien	rhetorician
inébranlable	unwavering
salle	auditorium
insubmersible	unsinkable
ronronner	purr
reproductibilité	reproducibility
caricature	caricature
enveloppe	wrapper
ut	ut
steppe	steppe
sexy	sexy
palanquin	palanquin
codifier	codify
nourrir	feed
vautour	vulture
habituel	accustomed
banderille	banderilla
jade	jade
guidon	burgee
canard	canard
alfa	esparto
monarchie	monarch
ocytocine	oxytocin
absolument	necessarily
arcature	arcature
capter	capture
motet	motet
assemblage	assemblage
thermal	thermal
météorologique	meteorological
spermiogenèse	spermiogenesis
linéariser	linearize
prospecter	prospect
nécessairement	necessarily
trichloréthylène	trichloroethylene
soussou	susu
théogonie	theogony
imaginer	imagination
expressément	expressly
smilodon	smilodon
office	service
triose	triose
primitive	antiderivative
oser	dare
verdure	verdure
amateur	amateur
webcam	webcam
langshan	langshan
bromate	bromate
tarare	winnow
maladie	malady
obliquement	obliquely
interstellaire	interstellar
cordonnier	shoemaker
prédictif	predictive
pareil	similarly
binôme	binomial
synthèse	synthesis
tige	pole
merveille	marvel
paralysie	paralysis
courlis	curlew
prometteur	promising
emblème	emblem
gratifier	gratify
académisme	academicism
fornicateur	fornicator
nettement	markedly
conseil	council
décrocher	unhook
cadavérique	cadaveric
tour	trick
amène	affable
mal	badly
touché	touché
lieutenant	lieutenant
radium	radium
réprimander	admonish
profiter	profit
simple	simple
phonétique	phonetics
tatillon	picky
cosmologiste	cosmologist
bévue	blunder
fondé	founded
volage	fickle
minijupe	miniskirt
barbarisme	barbarism
marginal	dropout
réprobation	disapproval
baigneur	bather
ergodicité	ergodicity
mouvementé	turbulent
souplesse	flexibility
rugir	roar
qipao	qipao
piquer	bite
atopique	atopic
binette	smiley
tuyau	duct
repasser	recross
traumatologie	traumatology
amoureux	friend
descendance	lineage
tenace	tenacious
lancer	throw
demande	request
perforé	perfin
ironique	ironic
chiffrement	encryption
valser	waltz
spécialiste	specialist
dicton	saying
rhombencéphale	rhombencephalon
allouer	allocate
caduc	dilapidated
célèbre	famous
marsupium	marsupium
autoriser	authorize
organolithien	organolithium
édifice	edifice
évidence	obviousness
cholestérique	cholesteric
culminer	culminate
doux	bland
factotum	factotum
idéalisation	idealization
bidule	thing
ecchymose	ecchymosis
déposséder	dispossess
grignoter	snack
sardonique	sardonic
impoli	rude
sang	blood
grandement	greatly
méprise	mistake
solubilité	solubility
balbutiement	babbling
bandeau	blindfold
teint	dyed
strabisme	strabismus
jongleur	juggler
septennal	septennial
fringale	craving
trinquet	trinket
dramatiquement	dramatically
résoudre	reduce
bois	timberland
chloroplaste	chloroplast
bagel	bagel
harpe	harp
dialectal	dialectal
légalement	legally
oxymètre	oximeter
accroire	believe
cacao	cocoa
capot	hood
saugrenu	bizarre
paléogéographie	palaeogeography
curling	curling
athée	atheist
providentialiste	providentialist
sextuor	sextet
germer	sprout
mince	slim
sorcellerie	witchcraft
anthropomorphe	anthropomorphic
falsifier	forge
mouche	fly
révélé	reveal
tessiture	range
virtuellement	virtually
déterministe	deterministic
vigésimal	vigesimal
démo	demo
espèce	species
boulangerie	bakery
rapidité	rapidity
paye	salary
spéculer	speculate
muscovite	muscovite
sol	surface
lâche	spineless
périphrase	circumlocution
applaudissements	applause
force	energy
flatulence	gas
patate	spud
télétype	teletype
motif	motive
insensé	insensate
pêcher	catch
élever	elevate
numéro	number
prédictibilité	predictability
idéologie	doctrine
cornemuse	pipe
tarama	taramosalata
traquet	wheatear
hypocrite	backstabber
exprès	deliberately
penseur	thinker
lingot	bullion
roller	rollerblade
canneberge	cranberry
martini	martini
latent	latent
museler	muzzle
souffrance	suffering
fructus	fructus
amylase	amylase
controversé	contentious
soufflante	fan
mécénat	patronage
intervention	intervention
intercommunal	intercommunal
scientifique	scientific
grandeur	highness
émanation	emanation
accaparer	monopolise
jaseur	waxwing
annulation	cancellation
bourdonnant	nagging
scientométrie	scientometrics
viabilité	viability
réviser	review
gesticulation	flourish
intégral	integral
calvitie	baldness
correspondant	correspondent
ethnomusicologie	ethnomusicology
chardon	thistle
sangle	strap
cordial	hearty
intensifier	escalate
rentier	rentier
suralimentation	overnutrition
ondulé	corrugated
publier	publish
suffoquer	suffocate
compresse	compress
immobile	motionless
inoffensif	innocuous
tartiner	spread
arawak	arawak
rouille	rust
pétrologie	petrology
sommeiller	doze
souillure	soil
commode	convenient
intégrale	complete
refroidissement	cooling
aciérie	steelworks
buffet	cupboard
tabulation	tab
cœur	heartless
description	description
marée	tide
leucocyte	leucocyte
armurier	artificer
justement	justly
maral	maral
constitution	constitution
vulgarisateur	popularizer
historiographie	historiography
quenelle	dumpling
revers	revers
distributeur	dispenser
intellectuellement	intellectually
pétrel	petrel
hyperventilation	hyperventilation
pylore	pylorus
bobsleigh	bobsleigh
perfectible	perfectible
bivalve	bivalve
moustique	mosquito
offensive	offensive
once	ounce
bord	brink
incompatibilité	incompatibility
énumération	enumeration
malhonnête	dishonest
trianguler	triangulate
ponch	punch
fart	wax
rythme	rhythm
amicale	fraternity
trahison	treason
soutien	patronage
égoutter	drain
people	celebrity
implorer	implore
juridiction	jurisdiction
soif	thirst
asthmatique	asthmatic
commenter	comment
dignitaire	dignitary
piste	runway
triage	triage
séduisant	seductive
spongieux	spongy
jour	daylight
vol	bevy
trèfle	trefoil
glires	glires
courage	bravery
hémodynamique	hemodynamic
adapter	match
insectivore	insectivorous
primordial	paramount
fumerolle	fumarole
amélanchier	shadbush
exterminer	exterminate
bouffonnerie	clowning
anticonformiste	nonconformist
pâte	dough
revente	resale
coplanaire	coplanar
écouter	hear
turban	turban
désespérance	hopelessness
frange	forelock
extensible	expandable
carlin	pug
apparenter	related
transvaser	decant
hypolaïs	warbler
paprika	paprika
constance	constancy
impuni	unpunished
précession	precession
attractivité	attractiveness
draguer	flirt
souci	worry
kirpan	kirpan
exactitude	exactitude
grimoire	grimoire
crustacé	shrimp
sérénade	serenade
atrium	atrium
finalement	eventually
mobilier	furniture
obéissance	obedience
canon	knee
complexé	troubled
hédoniste	hedonic
étymologie	etymology
ornemental	ornamental
néofasciste	neofascist
simplex	simplex
effervescence	effervescence
déductible	deductible
polysémie	polysemy
hendécagone	hendecagon
désordre	disorder
énol	enol
sonique	sonic
prioriser	prioritise
athérome	atheroma
électromagnétique	electromagnetic
cessation	cessation
papa	daddy
terpène	terpene
littéraire	literature
bourg	town
rétroversion	retroversion
reposer	rest
flèche	flitch
tente	tent
soucoupe	saucer
pusher	push
micropoint	microdot
pâteux	pasty
rosse	nag
maigre	meager
maximalisme	maximalism
ardent	ardent
bubu	gown
commentaire	comment
syzygie	syzygy
asyndète	asyndeton
atavique	atavistic
jambage	doorjamb
continuellement	continuously
ordinaire	rascal
ductilité	ductility
distribution	distribution
mythologue	mythologist
finale	finale
par	per
yang	yang
bistable	bistable
humidité	dry
placentation	placentation
stupéfait	stunned
excursion	excursion
auvent	carport
sorgho	sorghum
péristaltique	peristaltic
composer	typeset
frontière	boundary
handicapé	disabled
absinthe	absinthe
agora	agora
carré	uncompromising
nanoélectronique	nanoelectronic
versus	versus
trumeau	trumeau
fluctuation	fluctuation
lèvre	lip
frag	frag
philanthrope	philanthropist
diatribe	diatribe
imprimatur	imprimatur
solennité	solemnity
éviter	forbear
surtension	overvoltage
nécessaire	necessary
biennal	biennial
rétrospective	retrospective
inonder	flood
discrétion	discretion
mahatma	mahatma
triploïde	triploid
piété	godliness
même	even
forstérite	forsterite
pépite	nugget
servile	subservient
masaï	maasai
médaillon	locket
ski	skiing
cheesecake	cheesecake
coroutine	coroutine
prouver	prove
volant	fly
chaton	kitten
sympathique	easygoing
iatrogène	iatrogenic
sablonnière	sandpit
paupière	eyelid
battement	throb
chaste	celibate
racler	strum
argent	guarantee
donnée	datum
volontaire	intentional
prosodie	prosody
producteur	producer
socialiste	socialist
barmaid	barmaid
scénariste	screenwriter
unir	unite
spontanément	spontaneously
déhiscence	dehiscence
allergène	allergen
glossolalie	glossolalia
proclamer	proclaim
clairement	clearly
via	via
feedback	feedback
revigorer	reinvigorate
salutation	greeting
modèle	pattern
balance	weight
tempétueux	tempestuous
dénucléarisation	denuclearization
néocortex	neocortex
évangéliser	evangelize
anaérobique	anaerobic
cacaoyer	cacao
dissimuler	conceal
scabreux	scabrous
inutile	unavailing
renouveler	renew
féminité	woman
orfèvrerie	goldsmithing
crédulité	credulity
cercueil	coffin
ammoniac	ammonia
présomptif	presumptive
pyrrhique	pyrrhic
injuste	unjust
dalton	dalton
indéfiniment	indefinitely
exception	exception
charge	load
manigance	scheme
dérivé	derivative
alumineux	aluminous
sectionner	section
hypothétiquement	hypothetically
évangéliste	evangelist
acoustique	acoustical
carboniser	char
velours	velvet
dolmen	dolmen
contexte	context
aquatinte	aquatint
franchement	frankly
endocrinologie	endocrinology
tenter	tempt
pruine	bloom
tombereau	dumper
désinfectant	disinfectant
comte	county
trêve	truce
brin	wisp
mille	thousand
mutagène	mutagen
majolique	majolica
sénilité	senility
soupirail	spiracle
supplication	entreaty
cassé	broken
symbiote	symbiont
audience	hearing
tube	pipe
alléger	lighten
féminin	effeminate
cavalerie	cavalry
permittivité	permittivity
accusé	accused
berserk	berserker
cuprite	cuprite
riveter	rivet
nerprun	buckthorn
indéhiscent	indehiscent
collagène	collagen
vexer	vex
médiéval	medieval
gentil	gentle
chacal	jackal
dixième	tenth
cuisse	leg
châtiment	punishment
sectarisme	sectarianism
enlever	abduct
réglementer	regulate
féodalisation	feudalization
anion	anion
fille	girl
caravane	caravan
capitaine	captain
poli	polished
pont	pons
puant	smelly
renom	fame
assaut	onset
forage	drilling
bétonner	concrete
loutre	otter
importer	matter
génois	genoa
désigner	designate
skieur	skier
acharné	hellbent
soupçon	suspicion
personnage	character
tendu	taut
minable	lousy
formidable	tremendous
cambrioler	burglary
antinucléaire	antinuclear
ordonnée	ordinate
acné	acne
crochet	crochet
quantifiable	quantifiable
livret	booklet
saillance	salience
glouton	gluttonous
voie	pathway
stéréochimie	stereochemistry
cinématographie	cinematography
billard	snooker
polythéisme	polytheism
clystère	clyster
embobiner	reel
âne	jackass
malchanceux	unlucky
gobelin	goblin
chimiothérapie	chemotherapy
mégaphone	bullhorn
rôder	prowl
théologique	theological
sanglot	sob
gynécologique	gynecological
agissant	agitated
chevreau	kid
réverbère	streetlight
superamas	supercluster
préfabrication	prefabrication
bécarre	cancel
fouisseur	fossorial
optionnel	optional
fente	crack
tubaire	tubal
complet	outfit
agoraphobie	agoraphobia
opticien	optician
intendant	stewardship
bêtisier	bloopers
cataire	catnip
construction	building
avis	opinion
rapidement	rapidly
boucler	buckle
formidable	terrific
prisonnier	prisoner
redimensionner	resize
considérablement	considerably
sovkhoze	sovkhoz
militariser	militarize
pneumoconiose	pneumoconiosis
écholocation	echolocation
infixe	infix
par	by
alphanumérique	alphanumeric
articulaire	articular
jaillir	spurt
dorer	gild
silice	silica
homogène	homogeneous
harem	harem
momentanément	momentarily
tampon	tampon
prune	plum
flancher	resolve
extraire	mine
côlon	colon
tondre	fleece
fini	finished
repartie	retort
analphabète	illiterate
chœur	choir
régner	reign
paléographe	paleographer
observer	observe
miteux	crummy
prépresse	prepress
ressemblance	resemblance
ceindre	gird
séquenceur	sequencer
vriller	gimlet
gravure	carving
site	site
stériliser	sterilize
bled	sticks
autocratique	autocratic
assombrissement	darkening
coefficient	coefficient
galimatias	gobbledygook
sylviculture	forestry
situé	situated
gérant	manager
codage	encoding
congru	congruous
resplendissant	resplendent
tracteur	tractor
interdépendant	interdependent
préméditation	premeditation
superfamille	superfamily
fraude	deception
échauguette	bartizan
métier	craft
brutalement	brutally
implémenté	implemented
lieu	sport
racoleur	meretricious
pavillon	tent
synœcisme	synoecism
promettre	promise
innocemment	innocently
leptonique	leptonic
tribord	starboard
clivant	divisive
corrosion	corrosion
succession	succession
autunite	autunite
détecteur	detector
présupposer	presuppose
périodique	periodical
guépard	cheetah
disomie	disomy
géoglyphe	geoglyph
haché	choppy
rature	erasure
aegirine	aegirine
vaccin	vaccine
nautique	nautical
réactivation	reactivation
déconcerter	baffle
phylloxéra	phylloxera
piscivore	piscivorous
anxieux	anxious
lanthane	lanthanum
obséquieux	smarmy
argot	slang
récapituler	summarize
parasange	parasang
bombement	bulge
troupeau	mob
invention	invention
aéroglisseur	hovercraft
or	or
texture	texture
exaltation	exaltation
oxydation	oxidation
rustine	patch
cachemire	wool
amphisbène	amphisbaena
écrit	script
notoire	notorious
clepsydre	clepsydra
trypanosome	trypanosome
rose	rose
feinter	feint
peuple	folk
biome	biome
arbre	branches
histogramme	histogram
congolais	macaroon
enchanteur	enchanting
allumer	kindle
collection	collection
cabane	cabin
horaire	schedule
baladodiffusion	podcasting
sans	without
faux	knockoff
mielleux	sugary
four	flop
émérite	emeritus
toponymie	toponymy
sandale	sandal
karité	shea
trachome	trachoma
épistémologique	epistemological
fanfare	fanfare
orchestrer	orchestrate
covoiturage	carpool
hectare	hectare
miscible	miscible
totem	totem
antispam	antispam
jardinage	gardening
moiteur	dampness
rebond	bounce
jacque	jackfruit
prescripteur	prescriber
patrie	homeland
sassanide	sassanid
idéologiquement	ideologically
microchirurgie	microsurgery
ailier	winger
publipostage	mailing
céruléen	cerulean
affection	affection
agronomie	agronomics
graphisme	graphics
linéairement	linearly
geler	freeze
rancunier	spiteful
fraternité	fraternity
rebattu	hackneyed
croassement	caw
gélatine	gelatin
surutilisation	overuse
daemon	daemon
confondre	confound
zugzwang	zugzwang
analyte	analyte
inopiné	unannounced
rame	oarsman
oignon	bunion
halluciné	hallucinating
philtrum	philtrum
perilla	perilla
spectacle	spectacle
biotechnologique	biotechnological
conductivité	conductivity
restituer	restitute
flexible	resilient
aumône	alms
accord	agreement
hutte	hut
commerce	trade
mettre	put
courtisan	fawning
ruminer	ruminate
mycotoxine	mycotoxin
véritablement	technically
échoué	stranded
auvent	awning
mascara	mascara
vitesse	velocity
deleatur	dele
aucun	any
divertir	entertain
chaudrée	chowder
dévasté	devastated
sécuriser	secure
cyanogène	cyanogen
munition	ammunition
analepse	analepsis
faucille	sickle
partisan	partisan
éjection	ejection
pertinemment	absolutely
glisser	swipe
abyssal	abysmal
peinture	painting
insane	insane
talc	talc
dard	dart
magnifique	gorgeous
octopode	octopod
numérique	numerical
fiable	reliable
lancer	toss
robinet	faucet
pale	blade
ripage	scuffing
carnet	notebook
imperméabilisation	waterproofing
monadique	monadic
marché	market
jaque	jack
teint	tint
onanisme	onanism
pan	spank
impayé	unpaid
patrilinéaire	patrilineal
pseudonyme	alias
encensoir	censer
construction	structure
désespérance	desperation
dédommager	indemnify
chitine	chitin
moulin	mill
hypophyse	hypophysis
chose	concept
étreindre	hug
décolletage	décolletage
vertu	virtue
maniériste	mannerist
kinésiologie	kinesiology
oreillons	mumps
décapant	flux
mnémonique	mnemonic
catalyseur	catalyst
chirurgie	surgery
désinvolture	glibness
pseudobulbe	pseudobulb
